id,CustomerDimension,MarketDimension
10000274,7,8
10000369,6,7
10000485,5,4
10000865,4,6
10001910,6,5
10003296,5,5
10003883,5,6
10004300,8,7
10004423,5,7
10004933,4,6
10005203,5,5
10005409,7,7
10005597,7,5
10007003,6,6
10007777,7,6
10008253,6,5
10008548,5,6
10008765,7,6
10008890,5,7
10009277,7,7
10009435,6,6
10009439,7,7
10009467,5,7
10009660,6,6
10009749,7,5
10010667,5,8
10011814,8,8
10011964,7,7
10012137,7,7
10012726,6,6
10012774,8,5
10012819,5,7
10012888,4,6
10013131,7,4
10013606,7,8
10013707,6,8
10013815,7,7
10013896,6,7
10014547,7,6
10015128,5,7
10015487,8,8
10015525,6,4
10015717,7,7
10015744,7,5
10015956,7,6
10017746,7,7
10017878,7,4
10018212,5,5
10018469,6,7
10019319,8,5
10020163,5,5
10020265,6,7
10020299,6,6
10020383,8,8
10020490,5,7
10020583,7,7
10021253,5,5
10021694,5,8
10021921,4,6
10022029,5,8
10023032,7,6
10023197,5,7
10024622,8,7
10025841,5,4
10026135,5,4
10027634,7,4
10027707,7,6
10027859,7,5
10028088,5,5
10028604,8,5
10028631,8,8
10028712,5,4
10028884,5,5
10029385,5,8
10029721,7,6
10029749,7,5
10030396,7,7
10030646,6,7
10031983,6,6
10032511,8,5
10033416,7,7
10033807,7,8
10034229,5,4
10034387,7,8
10034587,6,5
10034758,4,4
10034835,6,6
10035357,8,8
10035988,5,5
10037047,7,6
10037356,5,7
10037420,5,8
10037903,6,5
10038683,7,5
10038795,8,6
10038918,6,7
10039638,7,6
10040142,5,7
10040547,7,6
10040590,7,7
10040625,8,5
10040682,7,8
10040783,8,8
10040863,6,7
10040969,7,6
10041091,5,7
10041551,7,8
10042043,4,4
10042207,7,7
10042248,6,8
10042289,6,6
10042741,5,8
10042828,5,4
10043051,7,5
10043401,5,7
10043661,7,6
10044571,6,6
10044673,7,6
10045005,8,5
10045329,4,5
10045373,5,7
10045420,7,5
10045493,5,5
10045709,4,6
10045756,6,6
10046035,8,6
10046884,4,7
10047214,6,5
10047644,8,7
10047745,8,7
10047977,5,4
10048162,5,5
10048702,8,8
10048923,4,7
10049564,4,7
10049843,4,6
10050083,7,6
10050681,6,7
