id	ManamgementDimension	StrategicDimenision
10897626	9	8
10462787	7	7
10516559	9	9
10487462	6	9
10416004	6	7
10140467	6	8
10451840	6	9
10155743	6	7
10356394	7	7
10712728	7	8
10077948	6	8
10898398	9	7
10927021	7	7
10413695	6	8
10415481	8	7
10543116	9	9
10698685	7	9
10312422	9	9
10572498	8	7
10163950	8	9
10807150	9	9
10389457	7	9
10743341	7	9
10549245	8	7
10093937	8	8
10015956	7	9
10154313	7	7
10352555	8	7
10727801	7	9
10271898	9	9
10628339	6	9
10344238	9	9
10308699	6	7
10091238	8	7
10416925	8	7
10488690	7	8
10054081	9	8
10269441	6	9
10636486	9	7
10545349	6	8
10042248	6	8
10759477	8	7
10691443	8	9
10405567	8	7
10094574	6	7
10280627	9	9
10837476	7	7
10622787	9	7
10281426	8	8
10300532	7	7
10453014	6	7
10582418	8	7
10567734	8	7
10791953	8	9
10070628	8	8
10348880	8	9
10777822	7	8
10959920	8	9
10680055	9	8
10952907	9	8
10396675	8	7
10427012	7	8
10844364	7	9
10316450	8	7
10237610	7	9
10487157	9	7
10989816	8	9
10649462	6	8
10034835	7	7
10257220	6	9
10843973	7	8
10144281	8	7
10904802	6	8
10653527	7	7
10511173	6	9
10114697	7	9
10173114	6	9
10791816	6	7
10775827	9	8
10842905	8	7
10258713	9	7
10070187	7	8
10516968	7	7
10112646	6	7
10443956	8	8
10711669	8	8
10782173	8	9
10565597	8	9
10222119	9	8
10401655	9	7
10493096	9	8
10104644	6	8
10596048	8	8
10761083	9	9
10268384	9	9
10273555	9	7
10590228	6	7
10787424	6	7
10665198	6	7
10385127	9	8
10805200	9	9
10516749	8	7
10924380	7	8
10388664	8	9
10085699	9	8
10531630	6	9
10413231	9	8
10499063	8	8
10706025	8	7
10763672	6	8
10509855	8	8
10115595	9	9
10864734	8	8
10409740	6	7
10188185	6	7
10645349	8	7
10058635	7	9
10068374	9	8
10115607	9	8
10157819	6	8
10752592	9	9
10108754	6	9
10468870	6	7
10021694	9	9
10801308	6	8
10822905	9	7
10235164	8	8
10966686	9	8
10042289	8	9
10199679	9	8
10789162	9	9
10105383	8	7
10216923	7	8
10608588	6	9
10430728	6	9
10784679	6	8
10785469	9	9
10944508	8	8
10906632	8	8
10709203	6	9
10161403	6	9
10960965	8	9
10751595	8	8
10957820	7	7
10327653	6	6
10822003	6	7
10481804	5	6
10637778	6	7
10335040	5	7
10933381	7	6
10836223	4	6
10270516	7	5
10005409	5	8
10495245	7	5
10871067	6	6
10359211	7	8
10612045	7	6
10325001	5	6
10135656	5	8
10261636	7	8
10502797	5	8
10831501	4	7
10607941	6	6
10752155	5	5
10303885	7	5
10734707	4	8
10519389	4	6
10943291	6	5
10801846	6	5
10009277	5	8
10320748	6	8
10244145	4	8
10966587	6	5
10685591	6	7
10841648	4	5
10015128	4	7
10524742	5	7
10278991	4	6
10086098	5	6
10093222	7	7
10877268	6	7
10761594	5	5
10070819	5	8
10303365	7	6
10858461	6	7
10812094	6	8
10436786	6	7
10443495	7	6
10293964	6	6
10109570	5	7
10391882	7	5
10984342	6	6
10459192	6	7
10561572	6	5
10800105	4	7
10756243	7	5
10045373	5	8
10319227	7	5
10059382	4	8
10812403	6	8
10058095	7	7
10260453	7	7
10691126	4	5
10012888	7	7
10591000	6	5
10245428	5	5
10536737	7	8
10342075	7	6
10935877	6	7
10226808	6	7
10816576	4	8
10303557	4	6
10098940	7	8
10744436	6	6
10988523	5	8
10771909	5	7
10724960	4	7
10471127	6	8
10568826	4	5
10724706	5	7
10274869	5	8
10611957	7	7
10909276	6	5
10385123	7	6
10456425	5	7
10215391	5	7
10632185	7	5
10229490	4	6
10892375	7	8
10193414	5	5
10565967	4	8
10520698	4	8
10373692	5	6
10489526	4	6
10117882	5	7
10258779	5	8
10034758	7	7
10831702	4	7
10009439	4	5
10126749	5	7
10504261	5	5
10092282	4	5
10519558	4	5
10270294	7	5
10306518	5	5
10769253	5	6
10957475	5	8
10051502	5	8
10577492	7	5
10144668	5	7
10749180	9	8
10457095	7	7
10327630	9	9
10670945	6	9
10990255	6	7
10433893	6	8
10541859	6	9
10900321	6	7
10965708	7	7
10018212	7	8
10859306	6	8
10557323	9	7
10216661	7	7
10174975	6	8
10034387	8	7
10138828	9	9
10539819	7	9
10862205	9	9
10486982	8	7
10522281	8	9
10280969	9	9
10019319	7	9
10204969	7	9
10171817	8	7
10496422	8	8
10931638	7	9
10851646	7	7
10617720	8	7
10047745	7	9
10794155	9	9
10359421	6	9
10741471	9	9
10667321	6	7
10593631	8	7
10419040	8	7
10070407	7	8
10690806	9	8
10748403	6	9
10415466	9	7
10222166	6	8
10904142	6	8
10846780	8	7
10515169	8	9
10682747	8	7
10570633	6	7
10545502	9	9
10454073	7	7
10037420	9	7
10247561	8	8
10480982	7	7
10232887	6	7
10431763	8	7
10413632	8	7
10020383	8	9
10018469	8	8
10072882	8	9
10525324	7	8
10998072	8	9
10430091	9	8
10037356	9	8
10992292	8	7
10814891	7	8
10029749	7	9
10182240	8	7
10952473	7	9
10249746	9	7
10204361	8	9
10087485	6	8
10173445	7	7
10891490	6	9
10826299	7	8
10394576	8	7
10999858	6	8
10999887	7	7
10933355	6	9
10745766	7	9
10048702	6	9
10730885	6	7
10287572	9	8
10776635	8	7
10973892	9	7
10089616	7	8
10464503	7	7
10121733	6	7
10717436	8	8
10738789	8	8
10814132	8	9
10803138	8	9
10293858	9	8
10155097	9	7
10356090	9	8
10861589	6	8
10748651	8	8
10424474	9	9
10920032	9	9
10773313	9	7
10975045	6	7
10569098	6	7
10449165	6	7
10076438	9	8
10165837	9	9
10353719	8	7
10807731	7	8
10307927	8	9
10476957	9	8
10547664	6	9
10208405	9	8
10021253	8	8
10524392	8	7
10176990	6	8
10801837	8	8
10276596	9	9
10502077	8	8
10845870	6	7
10294357	6	7
10832745	8	7
10655978	7	9
10942078	9	8
10844424	9	8
10501454	6	8
10471790	9	9
10062525	6	9
10531578	6	7
10178222	9	9
10786995	6	8
10314284	9	7
10382196	8	8
10270418	9	8
10879352	8	9
10763816	9	8
10889834	9	9
10260289	8	7
10732622	7	8
10625032	6	9
10334172	6	9
10880818	6	8
10567077	9	9
10011814	8	8
10569654	8	8
10397935	6	9
10285314	6	9
10400424	8	9
10685741	8	8
10381776	7	7
10730106	6	6
10975960	6	7
10522651	5	6
10875544	6	7
10738637	5	7
10064237	7	6
10124681	4	6
10441696	7	5
10166398	5	8
10118121	7	5
10942787	6	6
10092403	7	8
10927431	7	6
10085924	5	6
10165602	5	8
10454527	7	8
10875273	5	8
10556222	4	7
10037047	6	6
10829373	5	5
10659537	7	5
10906669	4	8
10617035	4	6
10053333	6	5
10915994	6	5
10079306	5	8
10867894	6	8
10358992	4	8
10577104	6	5
10918127	6	7
10172233	4	5
10665175	4	7
10259913	5	7
10045709	4	6
10611725	5	6
10740478	7	7
10982422	6	7
10556561	5	5
10945629	5	8
10586741	7	6
10908102	6	7
10146689	6	8
10891466	6	7
10846271	7	6
10647271	6	6
10423261	5	7
10349201	7	5
10562825	6	6
10592736	6	7
10271050	6	5
10510512	4	7
10250578	7	5
10232376	5	8
10206892	7	5
10458850	4	8
10823367	6	8
10133005	7	7
10835984	7	7
10947253	4	5
10513041	7	7
10567303	6	5
10068876	5	5
10189896	7	8
10001910	7	6
10996899	6	7
10333396	6	7
10941588	4	8
10408885	4	6
10491982	7	8
10362399	6	6
10195056	5	8
10666773	5	7
10005597	4	7
10369027	6	8
10188233	4	5
10887686	5	7
10292674	5	8
10078196	7	7
10239900	6	5
10653779	7	6
10906820	5	7
10461188	5	7
10042828	7	5
10681007	4	6
10883359	7	8
10947939	5	5
10957210	4	8
10277146	4	8
10407030	5	6
10657579	4	6
10965122	5	7
10189524	5	8
10561482	7	7
10446675	4	7
10668089	4	5
10766245	5	7
10741561	5	5
10092878	4	5
10373041	4	5
10155093	7	5
10602912	5	5
10058074	5	6
10141904	5	8
10393216	5	8
10611589	7	5
10403929	5	7
10150202	9	8
10253736	7	7
10582537	9	9
10203684	6	9
10969572	6	7
10060483	6	8
10390846	6	9
10534233	6	7
10277766	7	7
10799528	7	8
10396918	6	8
10879279	9	7
10779033	7	7
10972368	6	8
10085993	8	7
10059136	9	9
10167963	7	9
10146778	9	9
10285168	8	7
10086017	8	9
10879719	9	9
10350251	7	9
10972920	7	9
10785436	8	7
10564620	8	8
10696536	7	9
10007777	7	7
10256227	8	7
10780515	7	9
10337112	9	9
10415699	6	9
10907056	9	9
10240168	6	7
10823192	8	7
10337837	8	7
10398537	7	8
10331622	9	8
10915847	6	9
10600483	9	7
10427918	6	8
10670010	6	8
10796902	8	7
10818842	8	9
10085747	8	7
10766481	6	7
10665013	9	9
10473747	7	7
10710047	9	7
10580148	8	8
10519552	7	7
10063864	6	7
10777037	8	7
10027859	8	7
10583547	8	9
10634098	8	8
10554785	8	9
10057696	7	8
10917263	8	9
10020490	9	8
10367344	9	8
10715253	8	7
10799355	7	8
10212753	7	9
10340173	8	7
10451781	7	9
10744030	9	7
10825880	8	9
10953820	6	8
10803430	7	7
10228066	6	9
10107315	7	8
10680166	8	7
10560289	6	8
10117338	7	7
10038918	6	9
10774573	7	9
10803185	6	9
10978139	6	7
10911574	9	8
10739322	8	7
10959420	9	7
10622867	7	8
10901957	7	7
10352023	6	7
10567540	8	8
10487655	8	8
10949963	8	9
10906770	8	9
10738280	9	8
10176112	9	7
10407282	9	8
10683083	6	8
10153444	8	8
10493263	9	9
10931677	9	9
10979573	9	7
10695693	6	7
10216483	6	7
10735146	6	7
10657298	9	8
10251327	9	9
10343923	8	7
10285232	7	8
10116161	8	9
10533125	9	8
10083408	6	9
10113819	9	8
10533491	8	8
10152168	8	7
10979932	6	8
10268533	8	8
10807127	9	9
10952622	8	8
10618080	6	7
10412124	6	7
10729271	8	7
10773915	7	9
10958405	9	8
10768166	9	8
10538843	6	8
10412246	9	9
10678644	6	9
10818945	6	7
10660243	9	9
10615227	6	8
10290949	9	7
10420193	8	8
10104559	9	8
10367742	8	9
10136254	9	8
10641865	9	9
10870475	8	7
10666698	7	8
10818206	6	9
10143351	6	9
10998641	6	8
10089134	9	9
10469423	8	8
10053632	8	8
10335685	6	9
10975432	6	9
10013606	8	9
10383528	8	8
10952691	7	7
10722204	6	6
10609717	6	7
10933133	5	6
10371340	6	7
10824367	5	7
10990291	7	6
10276539	4	6
10179810	7	5
10017746	5	8
10958355	7	5
10878435	6	6
10233848	7	8
10236091	7	6
10707778	5	6
10318752	5	8
10284991	7	8
10826615	5	8
10839766	4	7
10488225	6	6
10164221	5	5
10576090	7	5
10648584	4	8
10975400	4	6
10714917	6	5
10130594	6	5
10456887	5	8
10516271	6	8
10937984	4	8
10501775	6	5
10453886	6	7
10389635	4	5
10815048	4	7
10487797	5	7
10661675	4	6
10317386	5	6
10047977	7	7
10808153	6	7
10939052	5	5
10148394	5	8
10158966	7	6
10166839	6	7
10488146	6	8
10052077	6	7
10257676	7	6
10809139	6	6
10502600	5	7
10592121	7	5
10171973	6	6
10847428	6	7
10721853	6	5
10712076	4	7
10107430	7	5
10516001	5	8
10321220	7	5
10043401	4	8
10703470	6	8
10254309	7	7
10722261	7	7
10377423	4	5
10177979	7	7
10157359	6	5
10500779	5	5
10244756	7	8
10783007	7	6
10930969	6	7
10330359	6	7
10334855	4	8
10714915	4	6
10008253	7	8
10476166	6	6
10292019	5	8
10888623	5	7
10410127	4	7
10132010	6	8
10046884	4	5
10461272	5	7
10312773	5	8
10523085	7	7
10410430	6	5
10324279	7	6
10234996	5	7
10775194	5	7
10981212	7	5
10254346	4	6
10818006	7	8
10588745	5	5
10193623	4	8
10992538	4	8
10457964	5	6
10875410	4	6
10210294	5	7
10933646	5	8
10685875	7	7
10699530	4	7
10376540	4	5
10482409	5	7
10396339	5	5
10848410	4	5
10202569	4	5
10563704	7	5
10667361	5	5
10995858	5	6
10060496	5	8
10178712	5	8
10711305	7	5
10350370	5	7
10438879	9	8
10957481	7	7
10224929	9	9
10719645	6	9
10201554	6	7
10893856	6	8
10165340	6	9
10572742	6	7
10930899	7	7
10565890	7	8
10821425	6	8
10520656	9	7
10948244	7	7
10138328	6	8
10722016	8	7
10376773	9	9
10334338	7	9
10388635	9	9
10493578	8	7
10796025	8	9
10716620	9	9
10478530	7	9
10971645	7	9
10380623	8	7
10765348	8	8
10858968	7	9
10697262	7	7
10356114	8	7
10097014	7	9
10764657	9	9
10261097	6	9
10660723	9	9
10172028	6	7
10597597	8	7
10737575	8	7
10765788	7	8
10418273	9	8
10191600	6	9
10529234	9	7
10110125	6	8
10925484	6	8
10032511	8	7
10033807	8	9
10152874	8	7
10856895	6	7
10664373	9	9
10789976	7	7
10535910	9	7
10040682	8	8
10476245	7	7
10601038	6	7
10683339	8	7
10175720	8	7
10356583	8	9
10459029	8	8
10478756	8	9
10063187	7	8
10562846	8	9
10884227	9	8
10923839	9	8
10902147	8	7
10704574	7	8
10015744	7	9
10800147	8	7
10082243	7	9
10798604	9	7
10128912	8	9
10253236	6	8
10922486	7	7
10890627	6	9
10970661	7	8
10953023	8	7
10201200	6	8
10193259	7	7
10682641	6	9
10875984	7	9
10302369	6	9
10082532	6	7
10788986	9	8
10826910	8	7
10015487	9	7
10834590	7	8
10509681	7	7
10125245	6	7
10343629	8	8
10464682	8	8
10963452	8	9
10683363	8	9
10812707	9	8
10634438	9	7
10832579	9	8
10343561	6	8
10317227	8	8
10155966	9	9
10982226	9	9
10117791	9	7
10120038	6	7
10627729	6	7
10326626	6	7
10172058	9	8
10068357	9	9
10473421	8	7
10186621	7	8
10890339	8	9
10625761	9	8
10715345	6	9
10242232	9	8
10003296	8	8
10042207	8	7
10349655	6	8
10958735	8	8
10378959	9	9
10453704	8	8
10133461	6	7
10100096	6	7
10402158	8	7
10723988	7	9
10273445	9	8
10813183	9	8
10388174	6	8
10373235	9	9
10936359	6	9
10352974	6	7
10804315	9	9
10008765	6	8
10155765	9	7
10147419	8	8
10050681	9	8
10762295	8	9
10040625	9	8
10593297	9	9
10273034	8	7
10709447	7	8
10447176	6	9
10784343	6	9
10154574	6	8
10535910	9	9
10791078	8	8
10797157	8	8
10779428	6	9
10589372	6	9
10532837	8	9
10577697	8	8
10245468	7	7
10876838	6	6
10187852	6	7
10750531	5	6
10660411	6	7
10359913	5	7
10869648	7	6
10968277	4	6
10729678	7	5
10355005	5	8
