id Year_of_Start Empl_Cnt_Y1
10897626 2012 "Above 25"
10462787 2015 "Above 25"
10516559 2014 "Above 25"
10487462 2016 "Below 10"
10416004 2014 "Above 25"
10140467 2012 "Below 10"
10451840 2016 "Above 25"
10155743 2014 10-25
10356394 2015 10-25
10712728 2014 "Above 25"
10077948 2015 10-25
10898398 2013 "Above 25"
10927021 2015 10-25
10413695 2013 10-25
10415481 2014 "Above 25"
10543116 2016 10-25
10698685 2015 "Above 25"
10312422 2015 "Above 25"
10572498 2016 "Above 25"
10163950 2013 10-25
10807150 2015 "Above 25"
10389457 2015 10-25
10743341 2012 "Above 25"
10549245 2016 "Above 25"
10093937 2015 "Above 25"
10015956 2015 10-25
10154313 2015 "Above 25"
10352555 2016 "Above 25"
10727801 2012 "Above 25"
10271898 2016 "Above 25"
10628339 2012 "Above 25"
10344238 2013 "Below 10"
10308699 2015 "Above 25"
10091238 2012 10-25
10416925 2012 "Above 25"
10488690 2013 "Above 25"
10054081 2012 "Above 25"
10269441 2013 "Below 10"
10636486 2016 "Above 25"
10545349 2015 "Above 25"
10042248 2016 10-25
10759477 2014 "Above 25"
10691443 2014 "Above 25"
10405567 2014 10-25
10094574 2014 "Above 25"
10280627 2013 10-25
10837476 2015 "Above 25"
10622787 2012 10-25
10281426 2012 "Above 25"
10300532 2015 "Above 25"
10453014 2015 10-25
10582418 2012 "Above 25"
10567734 2016 "Above 25"
10791953 2015 10-25
10070628 2012 "Above 25"
10348880 2013 "Above 25"
10777822 2014 "Above 25"
10959920 2015 "Below 10"
10680055 2013 10-25
10952907 2015 "Above 25"
10396675 2013 "Above 25"
10427012 2013 "Above 25"
10844364 2016 "Below 10"
10316450 2012 10-25
10237610 2016 "Above 25"
10487157 2014 "Above 25"
10989816 2013 10-25
10649462 2016 "Above 25"
10034835 2015 "Above 25"
10257220 2012 "Above 25"
10843973 2014 10-25
10144281 2012 "Below 10"
10904802 2016 10-25
10653527 2016 "Above 25"
10511173 2014 "Above 25"
10114697 2013 10-25
10173114 2014 "Above 25"
10791816 2015 "Above 25"
10775827 2015 "Above 25"
10842905 2013 "Above 25"
10258713 2013 "Above 25"
10070187 2014 "Above 25"
10516968 2012 "Above 25"
10112646 2016 "Above 25"
10443956 2016 "Below 10"
10711669 2013 10-25
10782173 2015 "Above 25"
10565597 2012 "Above 25"
10222119 2015 "Above 25"
10401655 2012 10-25
10493096 2014 "Above 25"
10104644 2012 10-25
10596048 2012 "Above 25"
10761083 2016 "Above 25"
10268384 2013 "Above 25"
10273555 2013 10-25
10590228 2014 10-25
10787424 2014 10-25
10665198 2015 "Above 25"
10385127 2013 10-25
10805200 2015 "Above 25"
10516749 2014 10-25
10924380 2016 10-25
10388664 2013 "Above 25"
10085699 2012 "Above 25"
10531630 2013 "Below 10"
10413231 2015 10-25
10499063 2014 "Above 25"
10706025 2012 10-25
10763672 2016 "Above 25"
10509855 2016 "Above 25"
10115595 2016 "Above 25"
10864734 2016 "Above 25"
10409740 2015 "Above 25"
10188185 2012 "Above 25"
10645349 2013 "Above 25"
10058635 2014 "Above 25"
10068374 2016 "Above 25"
10115607 2015 10-25
10157819 2012 "Below 10"
10752592 2014 "Below 10"
10108754 2015 "Above 25"
10468870 2016 "Above 25"
10021694 2016 10-25
10801308 2013 "Above 25"
10822905 2016 10-25
10235164 2016 "Above 25"
10966686 2016 "Above 25"
10042289 2014 10-25
10199679 2015 "Above 25"
10789162 2013 "Above 25"
10105383 2014 10-25
10216923 2014 "Above 25"
10608588 2015 "Above 25"
10430728 2016 "Above 25"
10784679 2013 10-25
10785469 2012 "Above 25"
10944508 2015 10-25
10906632 2012 "Above 25"
10709203 2014 "Above 25"
10161403 2016 "Above 25"
10960965 2013 10-25
10751595 2016 "Above 25"
10957820 2014 10-25
10327653 2016 "Above 25"
10822003 2015 10-25
10481804 2016 10-25
10637778 2014 "Above 25"
10335040 2014 10-25
10933381 2014 "Above 25"
10836223 2015 10-25
10270516 2015 "Above 25"
10005409 2015 10-25
10495245 2015 10-25
10871067 2016 10-25
10359211 2016 "Above 25"
10612045 2016 "Above 25"
10325001 2015 "Above 25"
10135656 2016 10-25
10261636 2014 "Above 25"
10502797 2016 10-25
10831501 2014 "Above 25"
10607941 2016 "Above 25"
10752155 2015 10-25
10303885 2014 "Above 25"
10734707 2016 "Above 25"
10519389 2015 "Above 25"
10943291 2015 "Below 10"
10801846 2016 "Above 25"
10009277 2014 10-25
10320748 2015 "Above 25"
10244145 2016 "Above 25"
10966587 2016 "Above 25"
10685591 2015 10-25
10841648 2015 "Below 10"
10015128 2016 "Above 25"
10524742 2014 "Above 25"
10278991 2015 "Above 25"
10086098 2015 "Above 25"
10093222 2014 10-25
10877268 2016 "Above 25"
10761594 2016 "Above 25"
10070819 2014 "Above 25"
10303365 2014 "Above 25"
10858461 2015 "Above 25"
10812094 2016 "Above 25"
10436786 2015 "Above 25"
10443495 2016 "Above 25"
10293964 2014 10-25
10109570 2014 10-25
10391882 2016 "Above 25"
10984342 2015 "Above 25"
10459192 2014 "Above 25"
10561572 2016 10-25
10800105 2015 "Above 25"
10756243 2016 10-25
10045373 2016 "Above 25"
10319227 2014 "Above 25"
10059382 2015 "Above 25"
10812403 2014 10-25
10058095 2016 10-25
10260453 2015 "Above 25"
10691126 2015 "Above 25"
10012888 2014 "Above 25"
10591000 2014 "Above 25"
10245428 2015 10-25
10536737 2015 "Above 25"
10342075 2014 10-25
10935877 2014 10-25
10226808 2015 10-25
10816576 2015 "Above 25"
10303557 2015 "Above 25"
10098940 2014 "Above 25"
10744436 2015 "Above 25"
10988523 2015 "Below 10"
10771909 2014 10-25
10724960 2016 "Above 25"
10471127 2015 "Above 25"
10568826 2016 10-25
10724706 2016 "Above 25"
10274869 2016 "Above 25"
10611957 2016 "Above 25"
10909276 2014 "Above 25"
10385123 2014 10-25
10456425 2015 10-25
10215391 2014 "Above 25"
10632185 2014 "Below 10"
10229490 2014 10-25
10892375 2016 "Above 25"
10193414 2016 "Above 25"
10565967 2016 "Above 25"
10520698 2016 10-25
10373692 2015 "Above 25"
10489526 2015 "Above 25"
10117882 2016 "Above 25"
10258779 2014 "Above 25"
10034758 2015 "Above 25"
10831702 2015 "Above 25"
10009439 2014 10-25
10126749 2016 "Above 25"
10504261 2015 "Above 25"
10092282 2014 "Above 25"
10519558 2014 10-25
10270294 2015 "Above 25"
10306518 2014 "Above 25"
10769253 2015 10-25
10957475 2016 "Below 10"
10051502 2014 10-25
10577492 2015 "Above 25"
10144668 2014 "Above 25"
10749180 2014 "Above 25"
10457095 2014 10-25
10327630 2014 "Above 25"
10670945 2016 "Below 10"
10990255 2012 "Above 25"
10433893 2015 10-25
10541859 2016 10-25
10900321 2015 "Above 25"
10965708 2016 "Above 25"
10018212 2015 10-25
10859306 2015 "Above 25"
10557323 2014 10-25
10216661 2013 "Above 25"
10174975 2016 "Above 25"
10034387 2012 10-25
10138828 2013 "Above 25"
10539819 2016 "Above 25"
10862205 2015 "Above 25"
10486982 2013 10-25
10522281 2012 "Above 25"
10280969 2012 "Above 25"
10019319 2015 "Above 25"
10204969 2016 "Above 25"
10171817 2016 "Above 25"
10496422 2016 10-25
10931638 2016 10-25
10851646 2012 "Below 10"
10617720 2014 "Above 25"
10047745 2015 "Above 25"
10794155 2016 "Above 25"
10359421 2015 10-25
10741471 2012 "Above 25"
10667321 2014 "Above 25"
10593631 2012 "Above 25"
10419040 2016 "Below 10"
10070407 2013 10-25
10690806 2016 10-25
10748403 2012 "Above 25"
10415466 2012 10-25
10222166 2014 "Above 25"
10904142 2014 "Above 25"
10846780 2016 10-25
10515169 2012 "Above 25"
10682747 2016 "Above 25"
10570633 2016 10-25
10545502 2014 "Above 25"
10454073 2012 "Above 25"
10037420 2015 "Above 25"
10247561 2013 "Above 25"
10480982 2013 10-25
10232887 2012 "Above 25"
10431763 2016 "Above 25"
10413632 2016 "Above 25"
10020383 2016 "Above 25"
10018469 2013 "Above 25"
10072882 2015 10-25
10525324 2012 "Above 25"
10998072 2016 10-25
10430091 2015 "Above 25"
10037356 2013 10-25
10992292 2012 "Above 25"
10814891 2012 "Above 25"
10029749 2015 "Above 25"
10182240 2016 10-25
10952473 2016 "Above 25"
10249746 2016 "Above 25"
10204361 2015 "Above 25"
10087485 2014 10-25
10173445 2016 "Above 25"
10891490 2016 10-25
10826299 2012 "Below 10"
10394576 2015 "Above 25"
10999858 2016 "Above 25"
10999887 2012 "Above 25"
10933355 2016 "Above 25"
10745766 2012 "Above 25"
10048702 2016 "Above 25"
10730885 2013 10-25
10287572 2014 "Above 25"
10776635 2015 10-25
10973892 2012 10-25
10089616 2012 "Above 25"
10464503 2014 "Above 25"
10121733 2013 "Above 25"
10717436 2014 "Above 25"
10738789 2015 "Above 25"
10814132 2015 "Above 25"
10803138 2016 "Above 25"
10293858 2016 "Above 25"
10155097 2012 10-25
10356090 2012 "Below 10"
10861589 2012 10-25
10748651 2014 10-25
10424474 2013 "Above 25"
10920032 2012 "Above 25"
10773313 2014 "Above 25"
10975045 2016 "Above 25"
10569098 2013 "Above 25"
10449165 2012 10-25
10076438 2013 10-25
10165837 2015 10-25
10353719 2016 "Above 25"
10807731 2016 10-25
10307927 2013 "Above 25"
10476957 2015 "Below 10"
10547664 2013 "Above 25"
10208405 2012 10-25
10021253 2013 "Above 25"
10524392 2012 10-25
10176990 2012 "Above 25"
10801837 2015 "Above 25"
10276596 2013 "Above 25"
10502077 2014 "Above 25"
10845870 2014 10-25
10294357 2015 "Above 25"
10832745 2016 "Above 25"
10655978 2013 10-25
10942078 2012 "Above 25"
10844424 2012 10-25
10501454 2015 "Below 10"
10471790 2015 10-25
10062525 2015 "Above 25"
10531578 2014 10-25
10178222 2013 10-25
10786995 2015 "Above 25"
10314284 2014 "Above 25"
10382196 2015 "Above 25"
10270418 2016 "Above 25"
10879352 2016 "Below 10"
10763816 2015 "Below 10"
10889834 2016 "Above 25"
10260289 2012 10-25
10732622 2016 10-25
10625032 2015 10-25
10334172 2013 "Above 25"
10880818 2013 "Above 25"
10567077 2013 "Above 25"
10011814 2013 10-25
10569654 2012 10-25
10397935 2015 10-25
10285314 2016 "Above 25"
10400424 2012 10-25
10685741 2013 "Above 25"
10381776 2016 10-25
10730106 2014 10-25
10975960 2014 "Above 25"
10522651 2016 "Below 10"
10875544 2016 10-25
10738637 2016 10-25
10064237 2015 "Above 25"
10124681 2014 "Above 25"
10441696 2015 "Above 25"
10166398 2015 "Above 25"
10118121 2015 "Above 25"
10942787 2014 10-25
10092403 2016 "Above 25"
10927431 2014 10-25
10085924 2016 10-25
10165602 2015 10-25
10454527 2016 "Above 25"
10875273 2015 10-25
10556222 2014 10-25
10037047 2016 10-25
10829373 2016 10-25
10659537 2014 "Above 25"
10906669 2016 "Above 25"
10617035 2016 10-25
10053333 2015 10-25
10915994 2015 "Above 25"
10079306 2016 "Above 25"
10867894 2015 10-25
10358992 2015 "Above 25"
10577104 2016 10-25
10918127 2015 "Above 25"
10172233 2016 10-25
10665175 2014 "Above 25"
10259913 2014 "Above 25"
10045709 2015 10-25
10611725 2016 "Above 25"
10740478 2015 "Above 25"
10982422 2016 "Above 25"
10556561 2016 "Above 25"
10945629 2016 "Above 25"
10586741 2016 "Above 25"
10908102 2014 10-25
10146689 2015 "Above 25"
10891466 2014 10-25
10846271 2014 "Above 25"
10647271 2016 "Above 25"
10423261 2015 "Above 25"
10349201 2015 "Above 25"
10562825 2014 "Above 25"
10592736 2016 10-25
10271050 2015 10-25
10510512 2014 10-25
10250578 2015 "Above 25"
10232376 2016 "Above 25"
10206892 2016 10-25
10458850 2015 "Above 25"
10823367 2014 "Above 25"
10133005 2016 "Above 25"
10835984 2016 "Above 25"
10947253 2015 "Above 25"
10513041 2014 "Above 25"
10567303 2015 10-25
10068876 2014 "Above 25"
10189896 2014 "Above 25"
10001910 2014 "Above 25"
10996899 2016 10-25
10333396 2015 "Above 25"
10941588 2015 10-25
10408885 2014 10-25
10491982 2014 10-25
10362399 2015 10-25
10195056 2015 10-25
10666773 2015 "Above 25"
10005597 2015 10-25
10369027 2014 10-25
10188233 2016 10-25
10887686 2016 10-25
10292674 2016 10-25
10078196 2014 "Above 25"
10239900 2014 "Above 25"
10653779 2016 "Above 25"
10906820 2016 "Below 10"
10461188 2015 "Below 10"
10042828 2016 "Above 25"
10681007 2014 10-25
10883359 2016 "Above 25"
10947939 2015 "Above 25"
10957210 2014 "Above 25"
10277146 2015 "Above 25"
10407030 2015 "Above 25"
10657579 2015 "Above 25"
10965122 2014 "Above 25"
10189524 2014 "Above 25"
10561482 2014 10-25
10446675 2015 10-25
10668089 2015 "Above 25"
10766245 2015 "Above 25"
10741561 2016 "Above 25"
10092878 2015 "Above 25"
10373041 2014 "Above 25"
10155093 2016 10-25
10602912 2016 "Above 25"
10058074 2014 "Above 25"
10141904 2016 "Below 10"
10393216 2015 "Above 25"
10611589 2014 "Above 25"
10403929 2016 "Above 25"
10150202 2013 "Above 25"
10253736 2016 "Above 25"
10582537 2012 "Above 25"
10203684 2015 10-25
10969572 2015 "Above 25"
10060483 2016 "Above 25"
10390846 2012 "Above 25"
10534233 2013 "Above 25"
10277766 2013 "Above 25"
10799528 2014 "Above 25"
10396918 2012 "Above 25"
10879279 2014 "Above 25"
10779033 2012 "Above 25"
10972368 2013 "Above 25"
10085993 2015 "Above 25"
10059136 2013 "Above 25"
10167963 2015 "Above 25"
10146778 2012 "Above 25"
10285168 2013 10-25
