id	Industry_Vertical	SubVertical	City
10000274	Consumer Internet	Online / Mobile Food Ordering platform	Bangalore
10000369	Consumer Internet	inter-city cab aggregator	New Delhi
10000485	Consumer Internet	Online Furnishing Rental Platform	Gurgaon
10000865	Consumer Internet	Online Bike & Car Services provider	Chennai
10001910	Consumer Internet	Fresh Food Delivery platform	Bangalore
10003296	Education	Child Disorder Information & Education	Bhopal
10003883	Technology	"TV Search, Guide and Remote mobile app"	Bangalore
10004300	Technology	Aadhaar-based API provider	Pune
10004423	Consumer Internet	Mobile app based Job Search	Noida
10004933	ECommerce	Organic Food eTailer	Bangalore
10005203	Consumer Internet	Smart Parking Platform	New Delhi
10005409	Consumer Internet	SME Online Buying Hub	Gurgaon
10005597	Consumer Internet	Online Food Ordering & Delivery Portal	Gurgaon
10007003	Consumer Internet	Online Fantasy Games	Mumbai
10007777	Healthcare	Healthcare Product Manufacturer	Bangalore
10008253	Consumer Internet	Co-Working Space Platform	New Delhi
10008548	Healthcare	Weigh Loss Coaching	Mumbai
10008765	Consumer Internet	Online Travel/Hotel Booking platform	Gurgaon
10008890	Consumer Internet	Online Real Estate Portal	Mumbai
10009277	Consumer Internet	Food Delivery Platform	Hyderabad
10009435	Consumer Internet	Online travel agent marketplace	Noida
10009439	Consumer Internet	healthcare aggregator platform	Mumbai
10009467	Consumer Internet	"Online Travel, Adventure & Activities Portal"	Bangalore
10009660	Consumer Internet	Tech Enabler for Artists	Mumbai
10009749	Consumer Internet	Dating & Singles Chat Platform	Mumbai
10010667	Consumer Internet	First Aid care app	Gurgaon
10011814	ECommerce	Online Fashion Apparel Retailer	Gurgaon
10011964	Consumer Internet	Mobile app based Concierge Service	New Delhi
10012137	Consumer Internet	Photography curation & Aggregator platform	Mumbai
10012726	ECommerce	Organic Food eTailer	Bangalore
10012774	Consumer Internet	Photo Sharing for Groups	Bangalore
10012819	ECommerce	B2B Procurement Marketplace for Office Products	Noida
10012888			
10013131	Healthcare	Women Hygiene Product Manufacturer	Mumbai
