Not_Closed_List_id Closed_List_id
10897626 10487462
10462787 10416004
10516559 10140467
10415481 10451840
10543116 10155743
10698685 10356394
10312422 10712728
10572498 10077948
10163950 10898398
10807150 10927021
10389457 10413695
10743341 10957820
10549245 10327653
10093937 10822003
10015956 10481804
10154313 10325001
10352555 10135656
10727801 10261636
10271898 10502797
10628339 10831501
10344238 10607941
10308699 10752155
10091238 10303885
10416925 10734707
10488690 10519389
10054081 10943291
10269441 10801846
10636486 10009277
10545349 10320748
10042248 10244145
10759477 10966587
10691443 10685591
10405567 10841648
10094574 10015128
10280627 10524742
10837476 10278991
10622787 10086098
10281426 10093222
10300532 10877268
10453014 10761594
10582418 10070819
10567734 10303365
10791953 10858461
10070628 10812094
10348880 10436786
10777822 10443495
10959920 10293964
10680055 10109570
10952907 10391882
10396675 10984342
10427012 10459192
10844364 10561572
10316450 10800105
10237610 10756243
10487157 10045373
10989816 10319227
10649462 10059382
10034835 10812403
10257220 10058095
10843973 10260453
10144281 10691126
10904802 10012888
10653527 10591000
10511173 10245428
10114697 10536737
10173114 10342075
10791816 10935877
10775827 10226808
10842905 10816576
10258713 10303557
10070187 10098940
10516968 10744436
10112646 10988523
10443956 10771909
10711669 10724960
10782173 10471127
10565597 10568826
10222119 10724706
10401655 10274869
10493096 10611957
10104644 10909276
10596048 10385123
10761083 10456425
10268384 10215391
10273555 10831702
10590228 10009439
10787424 10126749
10665198 10504261
10385127 10092282
10805200 10519558
10516749 10270294
10924380 10306518
10388664 10769253
10085699 10957475
10531630 10051502
10413231 10577492
10499063 10144668
10706025 10670945
10763672 10990255
10509855 10433893
10115595 10541859
10864734 10900321
10409740 10965708
10188185 10018212
10645349 10859306
10058635 10557323
10068374 10216661
10115607 10174975
10157819 10034387
10752592 10138828
10108754 10087485
10468870 10173445
10021694 10891490
10801308 10826299
10822905 10394576
10235164 10999858
10966686 10999887
10042289 10381776
10199679 10730106
10789162 10975960
10105383 10522651
10216923 10875544
10608588 10738637
10430728 10064237
10784679 10124681
10785469 10441696
10944508 10166398
10906632 10118121
10709203 10942787
10161403 10092403
10960965 10927431
10751595 10085924
10637778 10165602
10335040 10454527
10933381 10875273
10836223 10556222
10270516 10037047
10005409 10829373
10495245 10659537
10871067 10906669
10359211 10617035
10612045 10053333
10632185 10915994
10229490 10079306
10892375 10867894
10193414 10562825
10565967 10592736
10520698 10271050
10373692 10510512
10489526 10250578
10117882 10232376
10258779 10206892
10034758 10458850
10749180 10823367
10457095 10133005
10327630 10835984
10539819 10947253
10862205 10513041
10486982 10567303
10522281 10068876
10280969 10189896
10019319 10001910
10204969 10996899
10171817 10333396
10496422 10941588
10931638 10408885
10851646 10491982
10617720 10362399
10047745 10195056
10794155 10666773
10359421 10005597
10741471 10369027
10667321 10188233
10593631 10887686
10419040 10292674
10070407 10078196
10690806 10239900
10748403 10653779
10415466 10906820
10222166 10461188
10904142 10042828
10846780 10681007
10515169 10883359
10682747 10947939
10570633 10957210
10545502 10277146
10454073 10407030
10037420 10657579
10247561 10965122
10480982 10189524
10232887 10561482
10431763 10446675
10413632 10668089
10020383 10766245
10018469 10741561
10072882 10092878
10525324 10373041
10998072 10155093
10430091 10602912
10037356 10058074
10992292 10141904
10814891 10393216
10029749 10611589
10182240 10403929
10952473 10803430
10249746 10228066
10204361 10107315
10933355 10680166
10745766 10560289
10048702 10117338
10730885 10683083
10287572 10153444
10776635 10493263
10973892 10931677
10089616 10979573
10464503 10695693
10121733 10216483
10717436 10735146
10738789 10657298
10814132 10251327
10803138 10083408
10293858 10952691
10155097 10722204
10356090 10609717
10861589 10933133
10748651 10371340
10424474 10824367
10920032 10990291
10773313 10276539
10975045 10179810
10569098 10017746
10449165 10958355
10076438 10878435
10165837 10233848
10353719 10236091
10807731 10707778
10307927 10318752
10476957 10284991
10547664 10826615
10208405 10839766
10021253 10488225
10524392 10164221
10176990 10576090
10801837 10648584
10276596 10975400
