id,Year_of_Start,Empl_Cnt_Y1,InvestmentType,Invest_1st_Q_S,Industry_Vertical,SubVertical,City,OperationalDimension,IndustryPerformance,CompetitiveLandscape,CustomerDimension,MarketDimension,ManamgementDimension,StrategicDimenision,FinanceDimension,HRDimension,status
10897626,2012,Above 25,Angel / Seed Funding,5 Crore and Above,Technology,Mobile App Analytics,Mumbai,5.0,High,Medium,7.0,8.0,9,8,8.0,8.0,0.0
10462787,2015,Above 25,Private,5 Crore and Above,Finance,Online Lending,Pune,5.0,Low,Medium,5.0,5.0,7,7,8.0,5.0,0.0
10516559,2014,Above 25,Angel / Seed Funding,5 Crore and Above,E-commerce,Food and Beverages,Bengaluru,5.0,Medium,Medium,8.0,7.0,9,9,7.0,7.0,0.0
10487462,2016,Below 10,Angel / Seed Funding,40-60 Lacs,E-commerce,Sports Nutrition Supplement etailer,Bengaluru,5.0,High,High,8.0,7.0,6,9,8.0,8.0,1.0
10416004,2014,Above 25,Debt Funding,5 Crore and Above,Finance,Online Lending,Ahmedabad,6.0,Low,High,5.0,8.0,6,7,7.0,6.0,1.0
10140467,2012,Below 10,Seed/Angel Funding,40-60 Lacs,Entertainment,Digital Entertainment for Children,Mumbai,5.0,Medium,High,8.0,7.0,6,8,6.0,6.0,1.0
10451840,2016,Above 25,Private Equity,5 Crore and Above,Technology,Personal Assistant,Bengaluru,6.0,High,High,5.0,8.0,6,9,6.0,6.0,1.0
10155743,2014,10-25,Private Equity,2 - 5 Crores,E-commerce,Retail,Delhi,7.0,High,High,8.0,5.0,6,7,9.0,8.0,1.0
10356394,2015,10-25,Private Equity,2 - 5 Crores,Finance,Agricultural Loan,Chennai,7.0,High,High,7.0,7.0,7,7,6.0,5.0,1.0
10712728,2014,Above 25,Private Equity,5 Crore and Above,Technology,Medical Devices,Surat,6.0,High,High,5.0,5.0,7,8,6.0,6.0,1.0
10077948,2015,10-25,Angel / Seed Funding,2 - 5 Crores,Technology,Online Tutorial Marketplace,Bangalore,5.0,High,High,5.0,5.0,6,8,6.0,8.0,1.0
10898398,2013,Above 25,Debt Funding,5 Crore and Above,Technology,Aadhaar-based API provider,Pune,6.0,High,High,7.0,8.0,9,7,8.0,5.0,1.0
10927021,2015,10-25,Seed/Angel Funding,2 - 5 Crores,ECommerce,Online Grocery Store,Bangalore,7.0,Low,High,8.0,6.0,7,7,6.0,8.0,1.0
10413695,2013,10-25,Private Equity,2 - 5 Crores,Technology,Online Tutorial Marketplace,Bangalore,7.0,Low,High,6.0,7.0,6,8,6.0,6.0,1.0
10415481,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Online Fantasy Games,Mumbai,5.0,Low,High,7.0,8.0,8,7,6.0,5.0,0.0
10543116,2016,10-25,Private Equity,2 - 5 Crores,Technology,VR based Spiritual platform,Bangalore,7.0,Low,High,8.0,5.0,9,9,6.0,5.0,0.0
10698685,2015,Above 25,Private Equity,5 Crore and Above,Technology,Real time data analytics & reporting,Bangalore,7.0,Low,Low,6.0,6.0,7,9,8.0,8.0,0.0
10312422,2015,Above 25,Private Equity,5 Crore and Above,Technology,Financial Technology Research Platform,Bangalore,7.0,Low,Medium,8.0,6.0,9,9,6.0,8.0,0.0
